date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:43	1035/1035	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa546-40b%22	https://www.fonehouse.co.uk/images/header/nav/5G.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/5G.svg	(from https://www.fonehouse.co.uk/)
21:50:44	116077/116077	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:44%20GMT	https://www.fonehouse.co.uk/phones-with-free-gifts	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/phones-with-free-gifts.html	(from https://www.fonehouse.co.uk/)
21:50:45	2515/2515	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa544-9d3%22	https://www.fonehouse.co.uk/images/header/nav/gift-bundles.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/gift-bundles.svg	(from https://www.fonehouse.co.uk/)
21:50:45	2344/2344	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262daa545-928%22	https://www.fonehouse.co.uk/images/header/nav/services.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/services.svg	(from https://www.fonehouse.co.uk/)
21:50:46	106516/106516	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:45%20GMT	https://www.fonehouse.co.uk/latest-mobile-phones	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/latest-mobile-phones.html	(from https://www.fonehouse.co.uk/)
21:50:49	294085/294085	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:49%20GMT	https://www.fonehouse.co.uk/sell-my-mobile	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/sell-my-mobile.html	(from https://www.fonehouse.co.uk/)
21:50:49	3509/3509	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa545-db5%22	https://www.fonehouse.co.uk/images/header/nav/trade-in.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/trade-in.svg	(from https://www.fonehouse.co.uk/)
21:50:50	105500/105500	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:50%20GMT	https://www.fonehouse.co.uk/business-phone-contracts	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/business-phone-contracts.html	(from https://www.fonehouse.co.uk/)
21:50:50	1359/1359	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2262daa544-54f%22	https://www.fonehouse.co.uk/images/header/nav/business.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/business.svg	(from https://www.fonehouse.co.uk/)
21:50:51	980/980	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262daa541-3d4%22	https://www.fonehouse.co.uk/images/header/nav/apple.svg	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/images/header/nav/apple.svg	(from https://www.fonehouse.co.uk/)
21:50:52	169548/169548	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:52%20GMT	https://www.fonehouse.co.uk/brand/apple-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/apple-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:50:54	174634/174634	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:53%20GMT	https://www.fonehouse.co.uk/brand/samsung-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/samsung-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
21:50:54	136726/136726	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jul%202022%2019:50:54%20GMT	https://www.fonehouse.co.uk/brand/sony-mobile-phone-deals	C:/My%20Web%20Sites/phones32/www.fonehouse.co.uk/brand/sony-mobile-phone-deals.html	(from https://www.fonehouse.co.uk/)
